name,url,description,category,status
Comunitatea producătorilor de mobilă | Salutare producători de ...,https://www.facebook.com/groups/1723833837874743/,"Realizez proiectare 3D, desene tehnice și soluții personalizate pentru mobilier. 📐 Vă las atașate câteva proiecte realizate de mine. Dacă sunteți interesați de o colaborare, aștept mesajele voastre în privat!",رومانی,reviewed
Târgul 3D Printing/CNC România | Facebook,https://www.facebook.com/groups/490808568021295/,"Locul în care îți poți vinde creațiile, presta serviciile și locul de unde poți comanda piese/repere la comandă de la cei care printează 3D sau debitează...",رومانی,reviewed
3D PRINTING IAȘI - Facebook,https://www.facebook.com/groups/399920191255343/,Caut sculptor digital / modelator 3D cu experiență în realizarea de modele și reliefuri ornamentale pregătite pentru imprimare 3D (resin) și prelucrare pe CNC router.,رومانی,reviewed
Sculptură lemn și tâmplărie | Facebook,https://www.facebook.com/groups/370507005123260/,"May 14, 2022 · Masina manuala de aplicat cant ABS EW-100 În limita stocului disponibil, acum puteți achiziționa 𝗺𝗮𝘀𝗶𝗻𝗮 𝗱𝗲 𝗮𝗽𝗹𝗶𝗰𝗮𝘁 𝗰𝗮𝗻",رومانی,reviewed
Panoplii vânătorești și sculptura in lemn | Facebook,https://www.facebook.com/groups/392605405187798/,"doar 4 luni coarnele sunt dezvoltate complet. Pe durata verii, şi implicit a creşterii coarnelor, cerbii trăiesc în grupuri separate sau solitari limitându-şi",رومانی,reviewed
"Sculptură, creații artistice - Facebook",https://www.facebook.com/groups/1907592592858392/,"Mar 14, 2026 · Această pictură sculptată în lemn înfățișează scena crucificării Domnului Iisus Hristos. Lucrarea, realizată cu multă pricepere, surprinde detaliat momentul dramatic al răstignirii, cu figurile îndurerați ale celor prezenți. Rama de lemn conferă o notă clasică și elegantă întregii compoziții.",رومانی,reviewed
"Matrițe garduri, panouri 3d, ornamente din beton - Facebook",https://www.facebook.com/groups/227322986254948/,"Matrițe pentru piatra decorativa, cărămidă aparentă, placaje travertin, ornamente decorative găsești pe www.concrete-forma.com, WhatsApp 0772 234 268 , sau ne găsești în Ineu, str. Daciei, Nr. 12, jud.",رومانی,reviewed
3D Printing Romania-Beginners - Facebook,https://www.facebook.com/groups/329652516675827/,"I am a student from Brasov (RO), very passionate about technology (engineering) and especially about 3D Printing. I entered the national contest ""Romanians are entrepreneurs"" with my business idea - Future 3D: a platform dedicated to 3D printing.",رومانی,reviewed
Imprimare si modelare 3D - Facebook,https://www.facebook.com/groups/ImprimareModelare3d/,"Salutare! Realizez și vând modele 3D / STL personalizate pentru printare 3D, randări, prezentări, diorame, machete și proiecte tehnice.",رومانی,reviewed
IMPRIMANTE SI PRINTARE 3D IN ROMANIA - Facebook,https://www.facebook.com/groups/200248243868136/,"Mar 27, 2026 · Totul despre imprimante si printare 3d. Aici puteti discuta tot ce tine de imprimantele 3d cu tehnologia FDM (imprimare prin extrudare) de la imprimante DIY pana la imprimante achizitionate din comert, inclusiv parti componente, softuri si modele printate.",رومانی,reviewed
free 3d model stl 3d printing - Facebook,https://www.facebook.com/groups/free.3d.model.stl/,"Oct 21, 2025 · Perfect for all your creative projects, this model is available in STL format and ready for 3D printing. 🧰💡 Download it for free via the link below, and feel free to share your prints and creative uses in the comments!",رومانی,reviewed
imprimante 3d entraides et fichier stl gratuit | Mes chers ...,https://www.facebook.com/groups/178045901894919/,"Dec 15, 2025 · Mes chers makers, bien le bonjour ! Voici Le Loup “Mal-Aimé”, un modèle inspiré du court-métrage animé de Noël avec ce loup solitaire devenu symbole d’acceptation et de partage. Le modèle est...",رومانی,reviewed
Cool CNC Router Projects - Facebook,https://www.facebook.com/groups/coolcncprojects/,"Cool CNC Router Projects is a community for CNC makers to share projects, learn tips & tricks, and connect with others who love creating with their CNC. Need CNC Bits or Materials?",رومانی,reviewed
Arhitectura si design | **Ești producător de mobilier ... - Facebook,https://www.facebook.com/groups/313186928769479/,"definit. 🤍 Am ales o paletă de nuanțe calde, lemn natural și tonuri neutre, pentru a crea un ambient luminos, liniștit și primitor. Biblioteca generoasă oferă spațiu pentru cărți și obiecte decorative, zona de lucru este integrată discret în mobilier, iar canapeaua tip bancheta completează perfect colțul de relaxare.",رومانی,reviewed
Unicate din lemn | Trusă de dalti pentru sculptură Total 57 bucăți ...,https://www.facebook.com/groups/610504189744006/,"Trusă de dalti pentru sculptură Total 57 bucăți. Majoritatea sunt ascuțite foarte bine. O parte dintre ele (cele cu mâner hexagonal) sunt vechi, din...",رومانی,reviewed
Lucruri minunate din lemn - Facebook,https://www.facebook.com/groups/202088587021184/,"Căsuță la mare sau la munte? Noi o montam direct la locație, în câteva zile! 🌊⛰️ ""Corbu"" este mai mult decât o căsuță din lemn.",رومانی,reviewed
Lucrari din lemn | Il cunoaste cineva pe acest domn | Facebook,https://www.facebook.com/groups/1091464271638178/,"Il cunoaste cineva pe acest domn? ⚠️ FERIȚI-VĂ DE ACEST OM! Pretinde că realizează la comandă uși din lemn stratificat. Eu am plătit pentru uși din lemn stratificat, însă ceea ce am primit este,...",رومانی,reviewed
SCULPTURĂ ÎN LEMN - Facebook,https://www.facebook.com/groups/132196734123126/,"Ceapă Ilie, elevii au descoperit meșteșuguri tradiționale și au învățat cum obiecte din lemn, piele sau alte materiale din gospodărie pot fi transformate în creații artistice sau obiecte utile.",رومانی,reviewed
Sculptura in lemn - Facebook,https://www.facebook.com/groups/436028451404971/,"Evenimentul a debutat cu o demonstrație captivantă susținută de sculptorul Mihail Bogaci (Atelier Bogaci), un meșter recunoscut pentru dedicarea și precizia lucrului manual în lemn.",رومانی,reviewed
sculptura in lemn - Facebook,https://www.facebook.com/groups/512673582461110/,"Această pictură sculptată în lemn înfățișează scena crucificării Domnului Iisus Hristos. Lucrarea, realizată cu multă pricepere, surprinde detaliat momentul dramatic al răstignirii, cu figurile îndurerați ale celor prezenți. Rama de lemn conferă o notă clasică și elegantă întregii compoziții.",رومانی,reviewed
